var,desc,begin,end
Q1,How old are you,17,17
Q2,What is your sex,18,18
Q3,In what grade are you,19,19
Q4,Are you Hispanic/Latino,20,20
Q5,What is your race,21,28
Q6,How tall are you,29,32
Q7,How much do you weigh,33,38
Q8,Seat belt use,39,39
Q9,Riding with a drinking driver,40,40
Q10,Drinking and driving,41,41
Q11,Texting and driving,42,42
Q12,Weapon carrying,43,43
Q13,Weapon carrying at school,44,44
Q14,Gun carrying past 12 mos,45,45
Q15,Safety concerns at school,46,46
Q16,Threatened at school,47,47
Q17,Physical fighting,48,48
Q18,Physical fighting at school,49,49
Q19,Ever been physically forced sexual intercourse,50,50
Q20,Sexual violence,51,51
Q21,Sexual dating violence,52,52
Q22,Physical dating violence,53,53
Q23,Bullying at school,54,54
Q24,Electronic bullying,55,55
Q25,Sad or hopeless,56,56
Q26,Considered suicide,57,57
Q27,Made a suicide plan,58,58
Q28,Attempted suicide,59,59
Q29,Injurious suicide attempt,60,60
Q30,Ever cigarette use,61,61
Q31,Initiation of cigarette smoking,62,62
Q32,Current cigarette use,63,63
Q33,Smoked >10 cigarettes,64,64
Q34,Electronic vapor product use,65,65
Q35,Current electronic vapor product use,66,66
Q36,EVP from store,67,67
Q37,Current smokeless tobacco use,68,68
Q38,Current cigar use,69,69
Q39,All tobacco product cessation,70,70
Q40,Ever alcohol use,71,71
Q41,Initiation of alcohol use,72,72
Q42,Current alcohol use,73,73
Q43,Source of alcohol,74,74
Q44,Current binge drinking,75,75
Q45,Largest number of drinks,76,76
Q46,Ever marijuana use,77,77
Q47,Initiation of marijuana use,78,78
Q48,Current marijuana use,79,79
Q49,Ever cocaine use,80,80
Q50,Ever inhalant use,81,81
Q51,Ever heroin use,82,82
Q52,Ever methamphetamine use,83,83
Q53,Ever ecstasy use,84,84
Q54,Ever synthetic marijuana use,85,85
Q55,Ever steroid use,86,86
Q56,Ever prescription pain medicine use,87,87
Q57,Illegal injected drug use,88,88
Q58,Illegal drugs at school,89,89
Q59,Ever sexual intercourse,90,90
